Sample_name,Dataset,Complete,Single,Duplicated,Fragmented,Missing,n_markers,Scores_bacteria_odb10,Scores_archaea_odb10,Scores_eukaryota_odb10
results_lake_bins/9m_61,bacteria_odb10,86.3,13.7,72.6,4,9.7,124,"C:86.3%[S:13.7%,D:72.6%],F:4.0%,M:9.7%,n:124","C:17.0%[S:3.1%,D:13.9%],F:3.1%,M:79.9%,n:194","C:4.3%[S:0.8%,D:3.5%],F:0.8%,M:94.9%,n:255"
results_lake_bins/5m_164,bacteria_odb10,5.6,4.8,0.8,2.4,92,124,"C:5.6%[S:4.8%,D:0.8%],F:2.4%,M:92.0%,n:124","C:2.0%[S:1.0%,D:1.0%],F:1.0%,M:97.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/15mm_22,bacteroidia_odb10,91.4,41.8,49.6,2.4,6.2,538,"C:91.9%[S:53.2%,D:38.7%],F:7.3%,M:0.8%,n:124","C:19.1%[S:11.9%,D:7.2%],F:4.6%,M:76.3%,n:194","C:4.7%[S:3.5%,D:1.2%],F:3.1%,M:92.2%,n:255"
results_lake_bins/13m_147,bacteria_odb10,85.5,31.5,54,2.4,12.1,124,"C:85.5%[S:31.5%,D:54.0%],F:2.4%,M:12.1%,n:124","C:15.9%[S:4.6%,D:11.3%],F:4.1%,M:80.0%,n:194","C:2.8%[S:0.8%,D:2.0%],F:2.4%,M:94.8%,n:255"
results_lake_bins/9m_96,archaea_odb10,2.6,0.5,2.1,1,96.4,194,"C:1.6%[S:0.8%,D:0.8%],F:1.6%,M:96.8%,n:124","C:2.6%[S:0.5%,D:2.1%],F:1.0%,M:96.4%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:255"
results_lake_bins/5m_193,bacteria_odb10,1.6,1.6,0,1.6,96.8,124,"C:1.6%[S:1.6%,D:0.0%],F:1.6%,M:96.8%,n:124","C:0.5%[S:0.0%,D:0.5%],F:0.0%,M:99.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/13m_118,bacteria_odb10,99.2,24.2,75,0.8,0,124,"C:99.2%[S:24.2%,D:75.0%],F:0.8%,M:0.0%,n:124","C:21.1%[S:12.9%,D:8.2%],F:2.1%,M:76.8%,n:194","C:4.0%[S:2.0%,D:2.0%],F:2.7%,M:93.3%,n:255"
results_lake_bins/5m_235,bacteria_odb10,13.7,9.7,4,12.1,74.2,124,"C:13.7%[S:9.7%,D:4.0%],F:12.1%,M:74.2%,n:124","C:1.5%[S:1.5%,D:0.0%],F:3.1%,M:95.4%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.4%,M:99.2%,n:255"
results_lake_bins/15_5m_189,bacteria_odb10,5.6,5.6,0,4.8,89.6,124,"C:5.6%[S:5.6%,D:0.0%],F:4.8%,M:89.6%,n:124","C:2.6%[S:2.6%,D:0.0%],F:2.1%,M:95.3%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.4%,M:98.8%,n:255"
results_lake_bins/15mw_127,Check_logs,-,-,-,-,-,-,-,-,-
results_lake_bins/15_5m_270,micrococcales_odb10,75.8,75.6,0.2,7.8,16.4,537,"C:86.3%[S:86.3%,D:0.0%],F:7.3%,M:6.4%,n:124","C:13.4%[S:13.4%,D:0.0%],F:4.6%,M:82.0%,n:194","C:3.1%[S:3.1%,D:0.0%],F:1.6%,M:95.3%,n:255"
results_lake_bins/9m_245,sphingobacteriia_odb10,74.3,74.1,0.2,4.1,21.6,1068,"C:77.4%[S:77.4%,D:0.0%],F:8.9%,M:13.7%,n:124","C:11.9%[S:11.9%,D:0.0%],F:5.2%,M:82.9%,n:194","C:3.1%[S:3.1%,D:0.0%],F:2.0%,M:94.9%,n:255"
results_lake_bins/15mw_178,bacteroidales_odb10,98.5,97.6,0.9,0.2,1.3,541,"C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124","C:18.6%[S:18.6%,D:0.0%],F:3.1%,M:78.3%,n:194","C:3.1%[S:2.7%,D:0.4%],F:2.7%,M:94.2%,n:255"
results_lake_bins/15mm_141,mollicutes_odb10,0,0,0,0,100,151,"C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/15_5m_121,bacteria_odb10,66.9,37.1,29.8,11.3,21.8,124,"C:66.9%[S:37.1%,D:29.8%],F:11.3%,M:21.8%,n:124","C:15.4%[S:10.8%,D:4.6%],F:3.1%,M:81.5%,n:194","C:2.0%[S:1.2%,D:0.8%],F:3.5%,M:94.5%,n:255"
results_lake_bins/15_5m_40,bacteria_odb10,0.8,0.8,0,2.4,96.8,124,"C:0.8%[S:0.8%,D:0.0%],F:2.4%,M:96.8%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.5%,M:99.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/5m_44,bacteria_odb10,50,37.9,12.1,15.3,34.7,124,"C:50.0%[S:37.9%,D:12.1%],F:15.3%,M:34.7%,n:124","C:10.8%[S:6.7%,D:4.1%],F:4.1%,M:85.1%,n:194","C:2.4%[S:1.6%,D:0.8%],F:1.2%,M:96.4%,n:255"
results_lake_bins/15_5m_200,bacteria_odb10,77.4,77.4,0,7.3,15.3,124,"C:77.4%[S:77.4%,D:0.0%],F:7.3%,M:15.3%,n:124","C:13.4%[S:12.9%,D:0.5%],F:3.1%,M:83.5%,n:194","C:3.9%[S:3.9%,D:0.0%],F:2.4%,M:93.7%,n:255"
results_lake_bins/17m_24,firmicutes_odb10,87.6,87.6,0,0.5,11.9,218,"C:92.7%[S:92.7%,D:0.0%],F:1.6%,M:5.7%,n:124","C:18.0%[S:17.5%,D:0.5%],F:1.5%,M:80.5%,n:194","C:3.9%[S:3.1%,D:0.8%],F:1.2%,M:94.9%,n:255"
results_lake_bins/15_5m_98,bacteria_odb10,100,5.6,94.4,0,0,124,"C:100.0%[S:5.6%,D:94.4%],F:0.0%,M:0.0%,n:124","C:23.2%[S:6.2%,D:17.0%],F:6.2%,M:70.6%,n:194","C:8.2%[S:4.3%,D:3.9%],F:2.0%,M:89.8%,n:255"
results_lake_bins/9m_193,bacteria_odb10,1.6,0,1.6,0.8,97.6,124,"C:1.6%[S:0.0%,D:1.6%],F:0.8%,M:97.6%,n:124","C:1.0%[S:1.0%,D:0.0%],F:0.0%,M:99.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
results_lake_bins/15_5m_151,epsilonproteobacteria_odb10,50.6,50.3,0.3,10.8,38.6,591,"C:47.6%[S:47.6%,D:0.0%],F:21.0%,M:31.4%,n:124","C:7.7%[S:7.7%,D:0.0%],F:3.6%,M:88.7%,n:194","C:0.4%[S:0.4%,D:0.0%],F:1.2%,M:98.4%,n:255"
