# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
15mm_0.fa	taxid assigned	based on 3779/4571 ORFs	1;131567;2;2323;1783234;1783273	1.00;0.98;0.92;0.66;0.66;0.64	Bacteria: 0.92	no support	no support	no support	no support	no support	no support
15mm_1.fa	taxid assigned	based on 1128/1218 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;1.00;0.79;0.78;0.54	Bacteria: 1.00	Bacteroidetes: 0.54	no support	no support	no support	no support	no support
15mm_102.fa	taxid assigned	based on 2912/3195 ORFs	1;131567;2;1783270;68336;1134404	1.00;1.00;0.98;0.75;0.74;0.43	Bacteria: 0.98	Ignavibacteriae: 0.43	no support	no support	no support	no support	no support
15mm_103.fa	taxid assigned (1/2)	based on 323/838 ORFs	1;10239;2732004;2732005;2732007;2732523	1.00;0.37;0.33;0.33;0.33;0.33	Viruses: 0.37	Nucleocytoviricota: 0.33	Megaviricetes: 0.33	no support	no support	no support	no support
15mm_103.fa	taxid assigned (2/2)	based on 323/838 ORFs	1;131567;2	1.00;0.46;0.36	Bacteria: 0.36	no support	no support	no support	no support	no support	no support
15mm_104.fa	taxid assigned	based on 1209/1293 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.98;0.83;0.81;0.38;0.34	Bacteria: 0.98	Firmicutes: 0.81	Clostridia: 0.38	Eubacteriales: 0.34	no support	no support	no support
15mm_106.fa	taxid assigned	based on 1161/1219 ORFs	1;131567;2;1783257;203682;666505	1.00;1.00;1.00;0.93;0.92;0.48	Bacteria: 1.00	Planctomycetes: 0.92	Phycisphaerae: 0.48	no support	no support	no support	no support
15mm_107.fa	taxid assigned	based on 4739/4981 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;1.00;0.77;0.77;0.77	Bacteria: 1.00	Bacteroidetes: 0.77	no support	no support	no support	no support	no support
15mm_108.fa	taxid assigned	based on 4204/4797 ORFs	1;131567;2;1783257;74201	1.00;1.00;0.99;0.56;0.47	Bacteria: 0.99	Verrucomicrobia: 0.47	no support	no support	no support	no support	no support
15mm_109.fa	taxid assigned	based on 1351/1494 ORFs	1;131567;2;1783270;68336;976	1.00;0.96;0.96;0.77;0.77;0.76	Bacteria: 0.96	Bacteroidetes: 0.76	no support	no support	no support	no support	no support
15mm_11.fa	taxid assigned	based on 2183/2397 ORFs	1;131567;2;1783272;1239;526524;526525;128827;544447;2049044	1.00;0.99;0.99;0.97;0.96;0.91;0.90;0.90;0.90;0.90	Bacteria: 0.99	Firmicutes: 0.96	Erysipelotrichia: 0.91	Erysipelotrichales: 0.90	Erysipelotrichaceae: 0.90	NA	Erysipelotrichaceae bacterium: 0.90
15mm_115.fa	taxid assigned	based on 170/279 ORFs	1;131567;2;1224;1236;33811;1913989	1.00;0.90;0.79;0.70;0.67;0.63;0.63	Bacteria: 0.79	Proteobacteria: 0.70	Gammaproteobacteria: 0.67	NA	NA	NA	Gammaproteobacteria bacterium: 0.63
15mm_116.fa	taxid assigned	based on 467/555 ORFs	1;131567;2;1783270;68336;976	1.00;0.98;0.96;0.72;0.72;0.69	Bacteria: 0.96	Bacteroidetes: 0.69	no support	no support	no support	no support	no support
15mm_117.fa	taxid assigned	based on 4462/4791 ORFs	1;131567;2;1783257;74201;414999;415000;134623;278955;2006848	1.00;1.00;1.00;0.83;0.79;0.46;0.42;0.42;0.39;0.38	Bacteria: 1.00	Verrucomicrobia: 0.79	Opitutae: 0.46	Opitutales: 0.42	Opitutaceae: 0.42	NA	Opitutaceae bacterium: 0.38
15mm_121.fa	taxid assigned	based on 2937/3258 ORFs	1;131567;2;1783270;68336;976;117743;200644;403978;2021391	1.00;0.98;0.97;0.86;0.86;0.85;0.43;0.42;0.41;0.41	Bacteria: 0.97	Bacteroidetes: 0.85	Flavobacteriia: 0.43	Flavobacteriales: 0.42	NA	NA	Flavobacteriales bacterium: 0.41
15mm_124.fa	taxid assigned	based on 2913/2997 ORFs	1;131567;2;1224;28211	1.00;1.00;0.99;0.96;0.92	Bacteria: 0.99	Proteobacteria: 0.96	Alphaproteobacteria: 0.92	no support	no support	no support	no support
15mm_125.fa	taxid assigned	based on 3991/4285 ORFs	1;131567;2;1783270;68336;976;200643;171549;2005523;346096	1.00;0.99;0.99;0.92;0.91;0.90;0.63;0.55;0.43;0.41	Bacteria: 0.99	Bacteroidetes: 0.90	Bacteroidia: 0.63	Bacteroidales: 0.55	Paludibacteraceae: 0.43	Paludibacter: 0.41	no support
15mm_126.fa	taxid assigned (1/2)	based on 557/3402 ORFs	1;131567;2759	1.00;0.94;0.36	Eukaryota: 0.36	no support	no support	no support	no support	no support	no support
