# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin_0-contigs.fa	taxid assigned (1/2)	based on 358/476 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.48;0.48;0.48;0.48;0.48;0.48;0.44;0.44	Viruses: 0.48	Uroviricota: 0.48	Caudoviricetes: 0.48	Caudovirales: 0.48	NA	NA	uncultured Caudovirales phage: 0.44
Bin_0-contigs.fa	taxid assigned (2/2)	based on 358/476 ORFs	1;131567;2	1.00;0.41;0.41	Bacteria: 0.41	no support	no support	no support	no support	no support	no support
Bin_1-contigs.fa	taxid assigned	based on 504/920 ORFs	1;131567;2	1.00;0.75;0.69	Bacteria: 0.69	no support	no support	no support	no support	no support	no support
Bin_10-contigs.fa	taxid assigned	based on 2860/2960 ORFs	1;131567;2;1783270;68336;976;37452;1898104	1.00;1.00;1.00;0.98;0.98;0.97;0.66;0.55	Bacteria: 1.00	Bacteroidetes: 0.97	NA	NA	NA	NA	Bacteroidetes bacterium: 0.55
Bin_100-contigs.fa	taxid assigned	based on 1478/1670 ORFs	1;131567;2;1224;1236	1.00;0.99;0.98;0.91;0.77	Bacteria: 0.98	Proteobacteria: 0.91	Gammaproteobacteria: 0.77	no support	no support	no support	no support
Bin_101-contigs.fa	taxid assigned	based on 2307/2422 ORFs	1;131567;2;1783257;203682;666505	1.00;1.00;1.00;0.91;0.91;0.47	Bacteria: 1.00	Planctomycetes: 0.91	Phycisphaerae: 0.47	no support	no support	no support	no support
Bin_102-contigs.fa	taxid assigned	based on 1849/1885 ORFs	1;131567;2;1224	1.00;1.00;1.00;0.92	Bacteria: 1.00	Proteobacteria: 0.92	no support	no support	no support	no support	no support
Bin_103-contigs.fa	taxid assigned	based on 133/258 ORFs	1;131567;2	1.00;0.80;0.76	Bacteria: 0.76	no support	no support	no support	no support	no support	no support
Bin_104-contigs.fa	taxid assigned	based on 1/11 ORFs	1;131567;2;1783270;68336;976;117747;180495;2035813	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Sphingobacteriia: 1.00	NA	NA	NA	Sphingobacteriia bacterium: 1.00
Bin_105-contigs.fa	taxid assigned	based on 3/6 ORFs	1;131567;2;49928;1869227	1.00;0.76;0.76;0.59;0.59	Bacteria: 0.76	NA	NA	NA	NA	NA	bacterium: 0.59
Bin_106-contigs.fa	taxid assigned (1/2)	based on 2/25 ORFs	1;131567;2;1783270;68336;976;37452;1898104	1.00;1.00;1.00;0.37;0.37;0.37;0.37;0.37	Bacteria: 1.00	Bacteroidetes: 0.37	NA	NA	NA	NA	Bacteroidetes bacterium: 0.37
