Sample_name	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scores_bacteria_odb10	Scores_archaea_odb10	Scores_eukaryota_odb10
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15mm_Bin_132-contigs	Check_logs	-	-	-	-	-	-	-	-	-
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15mm_Bin_32-contigs	gammaproteobacteria_odb10	92.9	91.8	1.1	2.5	4.6	366	C:95.2%[S:95.2%,D:0.0%],F:1.6%,M:3.2%,n:124	C:16.5%[S:16.5%,D:0.0%],F:7.7%,M:75.8%,n:194	C:3.6%[S:2.4%,D:1.2%],F:1.6%,M:94.8%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15mw_Bin_111-contigs	Check_logs	-	-	-	-	-	-	-	-	-
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15_5m_Bin_83-contigs	bacteria_odb10	16.9	16.1	0.8	4.8	78.3	124	C:16.9%[S:16.1%,D:0.8%],F:4.8%,M:78.3%,n:124	C:2.6%[S:2.6%,D:0.0%],F:1.5%,M:95.9%,n:194	C:2.4%[S:2.4%,D:0.0%],F:1.6%,M:96.0%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15_5m_Bin_149-contigs	bacteria_odb10	77.4	15.3	62.1	5.6	17.0	124	C:77.4%[S:15.3%,D:62.1%],F:5.6%,M:17.0%,n:124	C:17.0%[S:3.6%,D:13.4%],F:2.1%,M:80.9%,n:194	C:3.9%[S:0.4%,D:3.5%],F:2.4%,M:93.7%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/13m_Bin_78-contigs	pahexavirus_odb10	2.8	2.8	0.0	0.0	97.2	36	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:124	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15mw_Bin_3-contigs	Check_logs	-	-	-	-	-	-	-	-	-
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15_5m_Bin_80-contigs	bacteria_odb10	21.8	21.0	0.8	8.9	69.3	124	C:21.8%[S:21.0%,D:0.8%],F:8.9%,M:69.3%,n:124	C:4.1%[S:4.1%,D:0.0%],F:2.1%,M:93.8%,n:194	C:1.2%[S:1.2%,D:0.0%],F:0.8%,M:98.0%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15_5m_Bin_215-contigs	bacteria_odb10	66.2	44.4	21.8	24.2	9.6	124	C:66.2%[S:44.4%,D:21.8%],F:24.2%,M:9.6%,n:124	C:11.3%[S:10.3%,D:1.0%],F:6.2%,M:82.5%,n:194	C:2.8%[S:2.4%,D:0.4%],F:2.4%,M:94.8%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15_5m_Bin_136-contigs	bacteria_odb10	96.0	34.7	61.3	2.4	1.6	124	C:96.0%[S:34.7%,D:61.3%],F:2.4%,M:1.6%,n:124	C:20.1%[S:9.8%,D:10.3%],F:4.6%,M:75.3%,n:194	C:5.5%[S:3.5%,D:2.0%],F:2.0%,M:92.5%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15mw_Bin_152-contigs	bacteria_odb10	0.8	0.8	0.0	0.8	98.4	124	C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:124	C:0.5%[S:0.5%,D:0.0%],F:0.5%,M:99.0%,n:194	C:0.0%[S:0.0%,D:0.0%],F:0.4%,M:99.6%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15_5m_Bin_45-contigs	pahexavirus_odb10	2.8	2.8	0.0	0.0	97.2	36	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:124	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15mm_Bin_184-contigs	burkholderiales_odb10	36.6	34.7	1.9	16.0	47.4	688	C:53.2%[S:49.2%,D:4.0%],F:25.0%,M:21.8%,n:124	C:6.7%[S:6.7%,D:0.0%],F:4.6%,M:88.7%,n:194	C:2.4%[S:2.4%,D:0.0%],F:2.4%,M:95.2%,n:255
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/15mm_Bin_47-contigs	Check_logs	-	-	-	-	-	-	-	-	-
/home/users/s/saini7/scratch/MS2/chemocline_bins/busco_out_09_07_2022/13m_Bin_214-contigs	micrococcales_odb10	84.7	75.8	8.9	4.3	11.0	537	C:86.3%[S:83.9%,D:2.4%],F:9.7%,M:4.0%,n:124	C:15.4%[S:14.4%,D:1.0%],F:3.6%,M:81.0%,n:194	C:3.9%[S:3.9%,D:0.0%],F:1.2%,M:94.9%,n:255
