"MAG","classification","reason","lineage","lineage.scores","superkingdom","confidence","phylum","class","order","family","genus","species","Depth.x","category","n_contigs","contig_bp","gap_pct","ctg_N50","ctg_L50","ctg_N90","ctg_L90","ctg_max","gc_avg","gc_std","size_mbp","Dataset","Complete","Single","Duplicated","Fragmented","Missing","n_markers","Scores_bacteria_odb10","Scores_archaea_odb10","Scores_eukaryota_odb10"
"13m_0.fa","taxid assigned","based on 7713/8932 ORFs","1;131567;2;1224;1553900;213481;404130;2053517","1.00;0.99;0.96;0.61;0.49;0.41;0.40;0.39","Bacteria","0.96","Proteobacteria: 0.61","Oligoflexia: 0.49","Bdellovibrionales: 0.41",NA,NA,"Bdellovibrionales bacterium: 0.39","13m","NCB",3381,6585728,0,1105,2079,2782,1196,9246,0.39725,0.02661,6.585728,"bacteria_odb10","52.5","44.4","8.1","17.7","29.8","124","C:52.5%[S:44.4%,D:8.1%],F:17.7%,M:29.8%,n:124","C:11.3%[S:6.7%,D:4.6%],F:5.7%,M:83.0%,n:194","C:3.9%[S:2.7%,D:1.2%],F:2.4%,M:93.7%,n:255"
"13m_100.fa","taxid assigned","based on 1503/1665 ORFs","1;131567;2;1783270;68336;1134404","1.00;1.00;0.99;0.76;0.75;0.43","Bacteria","0.99","Ignavibacteriae: 0.43","no support","no support","no support","no support","no support","13m","NCB",637,1323725,0,190,2305,516,1194,12142,0.36848,0.02867,1.323725,"bacteria_odb10","20.2","20.2","0","14.5","65.3","124","C:20.2%[S:20.2%,D:0.0%],F:14.5%,M:65.3%,n:124","C:4.6%[S:4.6%,D:0.0%],F:1.0%,M:94.4%,n:194","C:2.0%[S:2.0%,D:0.0%],F:2.7%,M:95.3%,n:255"
"13m_101.fa","taxid assigned","based on 3496/3898 ORFs","1;131567;2;1783270;68336;976;117743;200644;403978;2021391","1.00;0.97;0.96;0.84;0.84;0.83;0.41;0.41;0.40;0.40","Bacteria","0.96","Bacteroidetes: 0.83","Flavobacteriia: 0.41","Flavobacteriales: 0.41",NA,NA,"Flavobacteriales bacterium: 0.40","13m","NCB",968,3634044,0,230,4810,717,1837,28259,0.44965,0.03236,3.634044,"bacteroidetes_odb10","71.9","70.9","1","13.2","14.9","402","C:73.4%[S:73.4%,D:0.0%],F:14.5%,M:12.1%,n:124","C:11.3%[S:11.3%,D:0.0%],F:6.2%,M:82.5%,n:194","C:2.7%[S:2.7%,D:0.0%],F:3.1%,M:94.2%,n:255"
"13m_104.fa","taxid assigned","based on 3044/3132 ORFs","1;131567;2;1224;28211","1.00;1.00;0.99;0.95;0.92","Bacteria","0.99","Proteobacteria: 0.95","Alphaproteobacteria: 0.92","no support","no support","no support","no support","13m","NCB",230,3160808,0,44,24092,144,5959,90936,0.64245,0.0238,3.160808,"alphaproteobacteria_odb10","96.1","96.1","0","2.3","1.6","432","C:96.0%[S:96.0%,D:0.0%],F:3.2%,M:0.8%,n:124","C:16.0%[S:16.0%,D:0.0%],F:4.1%,M:79.9%,n:194","C:7.1%[S:7.1%,D:0.0%],F:0.4%,M:92.5%,n:255"
"13m_105.fa","taxid assigned","based on 5221/5520 ORFs","1;131567;2;1783272;200795","1.00;1.00;0.99;0.91;0.91","Bacteria","0.99","Chloroflexi: 0.91","no support","no support","no support","no support","no support","13m","NCB",1746,4701781,0,492,2944,1379,1532,31463,0.49933,0.03028,4.701781,"bacteria_odb10","51.6","46","5.6","16.1","32.3","124","C:51.6%[S:46.0%,D:5.6%],F:16.1%,M:32.3%,n:124","C:13.9%[S:13.4%,D:0.5%],F:3.1%,M:83.0%,n:194","C:4.3%[S:3.9%,D:0.4%],F:2.4%,M:93.3%,n:255"
"13m_106.fa","taxid assigned","based on 5317/5486 ORFs","1;131567;2;1224;28216","1.00;0.99;0.99;0.86;0.67","Bacteria","0.99","Proteobacteria: 0.86","Betaproteobacteria: 0.67","no support","no support","no support","no support","13m","NCB",1993,4135662,0,660,2280,1627,1248,8990,0.61629,0.03508,4.135662,"bacteria_odb10","38.7","33.1","5.6","9.7","51.6","124","C:38.7%[S:33.1%,D:5.6%],F:9.7%,M:51.6%,n:124","C:9.8%[S:6.7%,D:3.1%],F:3.1%,M:87.1%,n:194","C:3.9%[S:3.1%,D:0.8%],F:2.0%,M:94.1%,n:255"
"13m_108.fa","taxid assigned","based on 4673/4875 ORFs","1;131567;2;1224;28216","1.00;0.99;0.99;0.70;0.64","Bacteria","0.99","Proteobacteria: 0.70","Betaproteobacteria: 0.64","no support","no support","no support","no support","13m","NCB",1735,3506383,0,577,2172,1422,1245,9593,0.42247,0.03307,3.506383,"burkholderiales_odb10","63.3","43.2","20.1","13.8","22.9","688","C:74.2%[S:53.2%,D:21.0%],F:11.3%,M:14.5%,n:124","C:9.8%[S:6.2%,D:3.6%],F:6.2%,M:84.0%,n:194","C:2.0%[S:1.2%,D:0.8%],F:3.5%,M:94.5%,n:255"
"13m_11.fa","taxid assigned","based on 3427/3960 ORFs","1;131567;2;57723;533205;574975;574976;1951928;2052165*","1.00;1.00;0.99;0.95;0.86;0.86;0.86;0.80;0.80","Bacteria","0.99","Acidobacteria: 0.95","Holophagae: 0.86","Holophagales: 0.86","Holophagaceae: 0.86",NA,"Holophagaceae bacterium*: 0.80","13m","NCB",593,3660398,0,125,8857,406,2848,59328,0.6782,0.03059,3.660398,"bacteria_odb10","83.9","83.1","0.8","11.3","4.8","124","C:83.9%[S:83.1%,D:0.8%],F:11.3%,M:4.8%,n:124","C:14.9%[S:14.9%,D:0.0%],F:3.6%,M:81.5%,n:194","C:3.1%[S:3.1%,D:0.0%],F:0.8%,M:96.1%,n:255"
"13m_110.fa","taxid assigned","based on 1106/1292 ORFs","1;131567;2;1783270;68336","1.00;1.00;0.98;0.51;0.51","Bacteria","0.98","no support","no support","no support","no support","no support","no support","13m","NCB",601,982482,0,211,1612,509,1101,9793,0.36104,0.02754,0.982482,"bacteria_odb10","12.9","12.9","0","17.7","69.4","124","C:12.9%[S:12.9%,D:0.0%],F:17.7%,M:69.4%,n:124","C:2.6%[S:2.6%,D:0.0%],F:3.6%,M:93.8%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.4%,M:99.2%,n:255"
"13m_116.fa","taxid assigned","based on 235/659 ORFs","1;131567;2;1224;1236;33811;1913989","1.00;0.93;0.80;0.66;0.56;0.52;0.52","Bacteria","0.80","Proteobacteria: 0.66","Gammaproteobacteria: 0.56",NA,NA,NA,"Gammaproteobacteria bacterium: 0.52","13m","NCB",296,676580,0,65,2447,233,1152,26969,0.5021,0.0539,0.67658,"bacteria_odb10","0","0","0","1.6","98.4","124","C:0.0%[S:0.0%,D:0.0%],F:1.6%,M:98.4%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
