n_contigs	contig_bp	gap_pct	ctg_N50	ctg_L50	ctg_N90	ctg_L90	ctg_max	gc_avg	gc_std	filename
765	3727862	0.000	134	6293	539	2191	55216	0.30305	0.02768	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_0.fa
26	502122	0.000	4	39943	18	8803	114165	0.44301	0.02347	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_100.fa
10	14330	0.000	5	1452	9	1068	2098	0.51263	0.02219	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_101.fa
48	118284	0.000	15	2469	39	1410	10125	0.27843	0.03582	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_102.fa
655	4671578	0.000	68	16068	398	2524	126119	0.31639	0.02014	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_103.fa
572	8820117	0.000	48	38057	327	5478	347356	0.35183	0.01436	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_104.fa
17	33009	0.000	6	1992	15	1320	5051	0.44233	0.02465	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_105.fa
8723	16218416	0.000	2883	1928	7224	1166	13636	0.69992	0.03718	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_106.fa
3	3269	0.000	2	1089	3	1060	1120	0.69440	0.02502	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_107.fa
29	3336796	0.000	5	217479	15	63416	582046	0.33851	0.01763	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_108.fa
20	27160	0.000	9	1315	18	1028	2404	0.62309	0.04643	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_109.fa
123	343465	0.000	34	3285	95	1472	11319	0.27925	0.02199	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_10.fa
18	83548	0.000	3	12654	12	1586	16782	0.48886	0.03779	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_110.fa
6	9564	0.000	2	2333	6	1022	2474	0.44939	0.07326	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_111.fa
2078	15764494	0.000	379	10517	1453	3435	132129	0.45854	0.01663	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_112.fa
4	5643	0.000	2	1357	4	1048	2091	0.49530	0.02342	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_113.fa
86	567762	0.000	10	10726	54	2628	91081	0.46922	0.03374	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_114.fa
321	1663154	0.000	54	7617	221	2379	47524	0.34391	0.03214	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_115.fa
1	14166	0.000	1	14166	1	14166	14166	0.43188	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_116.fa
1861	10710404	0.000	386	7377	1352	2771	83039	0.45835	0.01842	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_117.fa
487	6289195	0.000	55	28054	291	4886	143536	0.28994	0.03189	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_118.fa
