"MAG","classification","reason","lineage","lineage.scores","superkingdom","confidence","phylum","class","order","family","genus","species","Depth","category","n_contigs","contig_bp","gap_pct","ctg_N50","ctg_L50","ctg_N90","ctg_L90","ctg_max","gc_avg","gc_std","size_mbp","Dataset","Complete","Single","Duplicated","Fragmented","Missing","n_markers","Scores_bacteria_odb10","Scores_archaea_odb10","Scores_eukaryota_odb10"
"13m_Bin_0-contigs","taxid assigned","based on 5996/6111 ORFs","1;131567;2;1783272;201174;1760;52018;1883427","1.00;1.00;1.00;0.93;0.93;0.62;0.61;0.47","Bacteria","1.00","Actinobacteria: 0.93","Actinomycetia: 0.62",NA,NA,NA,"Actinobacteria bacterium: 0.47","13m","CB",1884,4752946,0,458,2983,1463,1273,25274,0.52356,0.02201,4.752946,"bacteria_odb10","85.5","39.5","46.0","4.8","9.7","124","C:85.5%[S:39.5%,D:46.0%],F:4.8%,M:9.7%,n:124","C:18.0%[S:7.2%,D:10.8%],F:4.1%,M:77.9%,n:194","C:2.4%[S:1.2%,D:1.2%],F:2.0%,M:95.6%,n:255"
"13m_Bin_1-contigs","taxid assigned","based on 246/630 ORFs","1;131567;2759;3027;589350;2896;3030;233186","1.00;0.99;0.87;0.79;0.47;0.47;0.47;0.37","Eukaryota","0.87",NA,"Cryptophyceae: 0.79","Cryptomonadales: 0.47","Cryptomonadaceae: 0.47","Cryptomonas: 0.47","Cryptomonas curvata: 0.37","13m","CB",166,713896,0,26,6651,116,1708,43618,0.36978,0.04954,0.713896,"cyanobacteria_odb10","11.4","11.4","0.0","0.0","88.6","773","C:33.1%[S:33.1%,D:0.0%],F:1.6%,M:65.3%,n:124","C:1.0%[S:1.0%,D:0.0%],F:1.0%,M:98.0%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
"13m_Bin_103-contigs","taxid assigned","based on 3034/3302 ORFs","1;131567;2;1783270;68336;976;117743;200644;403978;2021391","1.00;1.00;0.99;0.90;0.90;0.88;0.44;0.44;0.43;0.43","Bacteria","0.99","Bacteroidetes: 0.88","Flavobacteriia: 0.44","Flavobacteriales: 0.44",NA,NA,"Flavobacteriales bacterium: 0.43","13m","CB",816,3178111,0,204,4861,612,1967,28259,0.45062,0.03178,3.178111,"bacteroidetes_odb10","67.9","67.7","0.2","12.4","19.7","402","C:68.5%[S:68.5%,D:0.0%],F:14.5%,M:17.0%,n:124","C:10.8%[S:10.8%,D:0.0%],F:6.2%,M:83.0%,n:194","C:2.7%[S:2.7%,D:0.0%],F:2.4%,M:94.9%,n:255"
"13m_Bin_105-contigs","taxid assigned (1/2)","based on 1194/5212 ORFs","1;131567;2759","1.00;0.95;0.52","Eukaryota","0.52","no support","no support","no support","no support","no support","no support","13m","CB",2836,5448186,0,806,2008,2320,1105,16040,0.49576,0.07154,5.448186,"bacteria_odb10","1.6","1.6","0.0","3.2","95.2","124","C:1.6%[S:1.6%,D:0.0%],F:3.2%,M:95.2%,n:124","C:1.0%[S:1.0%,D:0.0%],F:0.5%,M:98.5%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.8%,M:98.8%,n:255"
"13m_Bin_107-contigs","taxid assigned","based on 4726/5921 ORFs","1;131567;2;1783270;68336;976","1.00;0.91;0.87;0.35;0.35;0.31","Bacteria","0.87","Bacteroidetes: 0.31","no support","no support","no support","no support","no support","13m","CB",1506,4825236,0,192,3927,1094,1345,824061,0.3822,0.05481,4.825236,"bacteria_odb10","65.3","59.7","5.6","6.5","28.2","124","C:65.3%[S:59.7%,D:5.6%],F:6.5%,M:28.2%,n:124","C:11.4%[S:9.3%,D:2.1%],F:4.1%,M:84.5%,n:194","C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.6%,n:255"
"13m_Bin_109-contigs","taxid assigned","based on 2824/2918 ORFs","1;131567;2;1224;2008785;119069;1798413;1970530","1.00;1.00;1.00;0.89;0.63;0.63;0.63;0.58","Bacteria","1.00","Proteobacteria: 0.89","Hydrogenophilalia: 0.63","Hydrogenophilales: 0.63",NA,NA,"Hydrogenophilales bacterium 28-61-23: 0.58","13m","CB",542,2662753,0,134,6155,406,2585,35964,0.57359,0.03073,2.662753,"bacteria_odb10","64.5","64.5","0.0","8.1","27.4","124","C:64.5%[S:64.5%,D:0.0%],F:8.1%,M:27.4%,n:124","C:12.9%[S:12.9%,D:0.0%],F:4.1%,M:83.0%,n:194","C:3.9%[S:3.9%,D:0.0%],F:2.0%,M:94.1%,n:255"
"13m_Bin_11-contigs","taxid assigned","based on 687/845 ORFs","1;131567;2;1224;68525;28221;29;213495;2026763","1.00;1.00;0.99;0.76;0.67;0.67;0.47;0.46;0.46","Bacteria","0.99","Proteobacteria: 0.76","Deltaproteobacteria: 0.67","Myxococcales: 0.47",NA,NA,"Myxococcales bacterium: 0.46","13m","CB",422,560677,0,171,1282,369,1043,3153,0.67248,0.02947,0.560677,"bacteria_odb10","8.1","8.1","0.0","5.6","86.3","124","C:8.1%[S:8.1%,D:0.0%],F:5.6%,M:86.3%,n:124","C:0.5%[S:0.5%,D:0.0%],F:1.0%,M:98.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.4%,M:99.6%,n:255"
"13m_Bin_110-contigs","taxid assigned","based on 4106/5209 ORFs","1;131567;2;1783272;1239;526524;526525;128827;544447;2049044","1.00;0.80;0.78;0.68;0.66;0.63;0.63;0.63;0.62;0.62","Bacteria","0.78","Firmicutes: 0.66","Erysipelotrichia: 0.63","Erysipelotrichales: 0.63","Erysipelotrichaceae: 0.63",NA,"Erysipelotrichaceae bacterium: 0.62","13m","CB",151,4537353,0,12,108757,54,16644,385868,0.3953,0.04926,4.537353,"firmicutes_odb10","89.0","88.5","0.5","0.9","10.1","218","C:92.7%[S:91.9%,D:0.8%],F:1.6%,M:5.7%,n:124","C:18.5%[S:18.0%,D:0.5%],F:3.1%,M:78.4%,n:194","C:3.9%[S:3.1%,D:0.8%],F:1.2%,M:94.9%,n:255"
"13m_Bin_112-contigs","taxid assigned","based on 3360/3438 ORFs","1;131567;2;1224;28216","1.00;1.00;1.00;0.70;0.69","Bacteria","1.00","Proteobacteria: 0.70","Betaproteobacteria: 0.69","no support","no support","no support","no support","13m","CB",840,2763149,0,196,3995,633,1614,31463,0.44346,0.02064,2.763149,"bacteria_odb10","53.2","43.5","9.7","9.7","37.1","124","C:53.2%[S:43.5%,D:9.7%],F:9.7%,M:37.1%,n:124","C:11.3%[S:9.8%,D:1.5%],F:6.7%,M:82.0%,n:194","C:2.8%[S:2.4%,D:0.4%],F:2.4%,M:94.8%,n:255"
"13m_Bin_114-contigs","taxid assigned","based on 8666/8825 ORFs","1;131567;2;1783272;201174;1760;52018;1883427","1.00;1.00;1.00;0.96;0.92;0.77;0.36;0.36","Bacteria","1.00","Actinobacteria: 0.92","Actinomycetia: 0.77",NA,NA,NA,"Actinobacteria bacterium: 0.36","13m","CB",3239,6843662,0,965,2269,2619,1210,15008,0.45507,0.02012,6.843662,"burkholderiales_odb10","24.0","10.8","13.2","2.6","73.4","688","C:82.3%[S:36.3%,D:46.0%],F:6.5%,M:11.2%,n:124","C:17.5%[S:4.6%,D:12.9%],F:5.7%,M:76.8%,n:194","C:4.3%[S:1.2%,D:3.1%],F:2.0%,M:93.7%,n:255"
