n_contigs	contig_bp	gap_pct	ctg_N50	ctg_L50	ctg_N90	ctg_L90	ctg_max	gc_avg	gc_std	filename
121	554029	0.000	15	8265	79	1586	41930	0.51063	0.04140	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_0-contigs.fa
2	3277	0.000	1	2181	2	1096	2181	0.55081	0.00300	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_100-contigs.fa
216	2781202	0.000	18	35600	117	5183	249903	0.44928	0.01979	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_101-contigs.fa
8986	14839421	0.000	3165	1652	7588	1108	7983	0.70661	0.04402	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_102-contigs.fa
251	5783752	0.000	33	45151	134	10298	299687	0.42765	0.03555	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_103-contigs.fa
125	463240	0.000	12	5233	88	1445	54635	0.38543	0.06445	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_104-contigs.fa
95	137920	0.000	34	1303	82	1056	5336	0.64326	0.03680	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_105-contigs.fa
229	378110	0.000	74	1539	193	1099	9619	0.53094	0.06333	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_106-contigs.fa
51	411153	0.000	5	22790	31	3433	75102	0.65501	0.02800	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_107-contigs.fa
132	1105585	0.000	21	11779	85	3788	82418	0.43496	0.07890	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_108-contigs.fa
210	2337529	0.000	34	22565	120	4660	92225	0.55087	0.02378	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_109-contigs.fa
5	50118	0.000	1	32468	3	3304	32468	0.38747	0.02959	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_10-contigs.fa
262	955466	0.000	33	5431	182	1400	61299	0.40835	0.03501	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_110-contigs.fa
2354	7097113	0.000	439	3938	1734	1305	79998	0.40439	0.02058	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_111-contigs.fa
448	669558	0.000	166	1485	383	1056	5895	0.61832	0.02608	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_112-contigs.fa
3	26273	0.000	2	8670	3	8652	8951	0.38378	0.00442	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_113-contigs.fa
1	9554	0.000	1	9554	1	9554	9554	0.32970	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_114-contigs.fa
44	1330439	0.000	8	47158	27	13112	134700	0.60357	0.00917	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_115-contigs.fa
209	379428	0.000	67	1791	174	1134	8583	0.63664	0.03489	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_116-contigs.fa
175	485268	0.000	44	3329	135	1406	13358	0.47423	0.04527	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_117-contigs.fa
386	3709737	0.000	50	18234	218	3982	109745	0.28086	0.01972	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_118-contigs.fa
1089	2934107	0.000	252	3219	833	1318	25330	0.63062	0.02097	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_119-contigs.fa
3720	7065495	0.000	1155	1991	3064	1145	18169	0.40345	0.05015	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_11-contigs.fa
146	1532828	0.000	35	13714	106	5471	45381	0.26078	0.02436	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_120-contigs.fa
38	71528	0.000	11	1776	32	1108	11173	0.38585	0.09616	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_121-contigs.fa
203	1253608	0.000	38	9384	134	2734	54623	0.50320	0.01316	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_122-contigs.fa
90	562642	0.000	15	8106	61	2931	89161	0.32629	0.02690	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_123-contigs.fa
19	54989	0.000	5	3927	14	1217	10672	0.44520	0.04397	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_124-contigs.fa
199	1611867	0.000	14	28762	107	2776	114165	0.42595	0.05345	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_125-contigs.fa
1507	5124879	0.000	179	5045	1067	1351	833626	0.40350	0.03922	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_126-contigs.fa
369	2721688	0.000	41	9825	241	3108	497740	0.44626	0.02382	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_127-contigs.fa
333	726701	0.000	84	2392	266	1163	15925	0.56845	0.09073	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_128-contigs.fa
9	14337	0.000	4	1685	8	1036	2217	0.56183	0.05825	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_129-contigs.fa
507	2397299	0.000	107	6514	355	2192	62934	0.57172	0.02816	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_12-contigs.fa
1	1116	0.000	1	1116	1	1116	1116	0.46685	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_130-contigs.fa
118	262761	0.000	27	2497	94	1173	17335	0.44654	0.03290	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_131-contigs.fa
21	332944	0.000	5	29204	11	9295	47524	0.48259	0.07898	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_132-contigs.fa
351	1286423	0.000	71	4996	250	1671	43993	0.51373	0.02290	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_133-contigs.fa
361	1657361	0.000	45	10269	230	1626	66248	0.46197	0.04054	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_134-contigs.fa
93	434257	0.000	14	10404	60	1636	26187	0.54426	0.11639	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_135-contigs.fa
732	4466325	0.000	85	12548	442	2395	106840	0.31346	0.02589	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_136-contigs.fa
1	2410	0.000	1	2410	1	2410	2410	0.56266	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_137-contigs.fa
87	586418	0.000	18	10416	58	2759	33331	0.31728	0.02989	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_138-contigs.fa
36	67622	0.000	15	2068	31	1341	2761	0.47385	0.04445	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_139-contigs.fa
500	2760314	0.000	53	12406	313	2038	63088	0.30087	0.03341	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_13-contigs.fa
3	4651	0.000	1	2405	3	1093	2405	0.46614	0.01922	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_140-contigs.fa
371	1224106	0.000	63	4347	267	1357	58677	0.39420	0.03762	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_141-contigs.fa
2891	5901264	0.000	896	2195	2354	1206	13636	0.69914	0.04454	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_142-contigs.fa
216	1517437	0.000	33	14454	131	2785	70501	0.49834	0.02994	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_143-contigs.fa
8	14482	0.000	3	1886	7	1179	3542	0.60641	0.09305	/srv/beegfs/scratch/users/s/saini7/MS2/LC_competitive_binning_bins/ALL_C_BINS/11m_Bin_144-contigs.fa
