# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
9m_0.fa	taxid assigned	based on 234/374 ORFs	1;131567;2	1.00;0.73;0.66	Bacteria: 0.66	no support	no support	no support	no support	no support	no support
9m_1.fa	taxid assigned	based on 7144/7332 ORFs	1;131567;2;1783272;201174;1760	1.00;1.00;0.98;0.92;0.92;0.91	Bacteria: 0.98	Actinobacteria: 0.92	Actinomycetia: 0.91	no support	no support	no support	no support
9m_10.fa	taxid assigned	based on 1740/1775 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;1.00;0.99;0.99;0.99;0.46;0.46	Bacteria: 1.00	Actinobacteria: 0.99	Actinomycetia: 0.99	NA	NA	NA	Actinobacteria bacterium: 0.46
9m_100.fa	taxid assigned	based on 9154/9320 ORFs	1;131567;2;1224;28216;80840;119060;44013	1.00;1.00;1.00;0.91;0.90;0.66;0.64;0.36	Bacteria: 1.00	Proteobacteria: 0.91	Betaproteobacteria: 0.90	Burkholderiales: 0.66	Burkholderiaceae: 0.64	Polynucleobacter: 0.36	no support
9m_101.fa	taxid assigned	based on 5/12 ORFs	1;131567;2;1783272;201174;1760;85006;85023	1.00;1.00;1.00;0.73;0.73;0.73;0.53;0.53	Bacteria: 1.00	Actinobacteria: 0.73	Actinomycetia: 0.73	Micrococcales: 0.53	Microbacteriaceae: 0.53	no support	no support
9m_102.fa	taxid assigned	based on 1949/2110 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;0.94;0.48;0.48;0.45	Bacteria: 0.94	Bacteroidetes: 0.45	no support	no support	no support	no support	no support
9m_103.fa	taxid assigned	based on 63/88 ORFs	1;131567;2	1.00;0.78;0.77	Bacteria: 0.77	no support	no support	no support	no support	no support	no support
9m_104.fa	taxid assigned	based on 92/146 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62	Viruses: 0.62	Uroviricota: 0.62	Caudoviricetes: 0.62	Caudovirales: 0.62	NA	NA	uncultured Caudovirales phage: 0.62
9m_105.fa	taxid assigned	based on 5402/5524 ORFs	1;131567;2;1783270;68336;976;768503;768507;89373	1.00;1.00;1.00;0.98;0.98;0.98;0.92;0.59;0.36	Bacteria: 1.00	Bacteroidetes: 0.98	Cytophagia: 0.92	Cytophagales: 0.59	Cytophagaceae: 0.36	no support	no support
9m_106.fa	taxid assigned	based on 18309/18843 ORFs	1;131567;2;1783272;201174;1760;52018	1.00;1.00;0.99;0.94;0.91;0.76;0.30	Bacteria: 0.99	Actinobacteria: 0.91	Actinomycetia: 0.76	no support	no support	no support	no support
9m_107.fa	taxid assigned	based on 31/42 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.69;0.69;0.69;0.69;0.69;0.69;0.67;0.67	Viruses: 0.69	Uroviricota: 0.69	Caudoviricetes: 0.69	Caudovirales: 0.69	NA	NA	uncultured Caudovirales phage: 0.67
9m_108.fa	taxid assigned	based on 252/376 ORFs	1;131567;2	1.00;0.98;0.95	Bacteria: 0.95	no support	no support	no support	no support	no support	no support
9m_109.fa	taxid assigned	based on 2799/2825 ORFs	1;131567;2;1224;28216;80840;119060;44013	1.00;1.00;1.00;0.99;0.98;0.96;0.95;0.89	Bacteria: 1.00	Proteobacteria: 0.99	Betaproteobacteria: 0.98	Burkholderiales: 0.96	Burkholderiaceae: 0.95	Polynucleobacter: 0.89	no support
9m_11.fa	no taxid assigned	no hits to database
9m_110.fa	taxid assigned	based on 7444/7713 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;0.99;0.76;0.76;0.47;0.46;0.38	Bacteria: 0.99	Actinobacteria: 0.76	Actinomycetia: 0.47	NA	NA	NA	Actinobacteria bacterium: 0.38
9m_111.fa	taxid assigned	based on 3156/3707 ORFs	1;131567;2;1783272;67819	1.00;1.00;0.99;0.36;0.33	Bacteria: 0.99	Armatimonadetes: 0.33	no support	no support	no support	no support	no support
9m_112.fa	taxid assigned (1/2)	based on 112/135 ORFs	1;131567;2;1224;1236;135618	1.00;1.00;1.00;0.88;0.49;0.44	Bacteria: 1.00	Proteobacteria: 0.88	Gammaproteobacteria: 0.49	Methylococcales: 0.44	no support	no support	no support
9m_112.fa	taxid assigned (2/2)	based on 112/135 ORFs	1;131567;2;1224;28216	1.00;1.00;1.00;0.88;0.32	Bacteria: 1.00	Proteobacteria: 0.88	Betaproteobacteria: 0.32	no support	no support	no support	no support
9m_113.fa	taxid assigned	based on 2488/2560 ORFs	1;131567;2;1783270;68336;976;37452;1898104	1.00;1.00;1.00;0.99;0.99;0.99;0.34;0.34	Bacteria: 1.00	Bacteroidetes: 0.99	NA	NA	NA	NA	Bacteroidetes bacterium: 0.34
9m_114.fa	taxid assigned (1/2)	based on 42/79 ORFs	1;131567;2	1.00;0.57;0.38	Bacteria: 0.38	no support	no support	no support	no support	no support	no support
9m_114.fa	taxid assigned (2/2)	based on 42/79 ORFs	1;10239	1.00;0.32	Viruses: 0.32	no support	no support	no support	no support	no support	no support
9m_115.fa	taxid assigned	based on 11/31 ORFs	1;131567;2;1783270;68336;976;37452;1898104	1.00;0.88;0.88;0.48;0.48;0.48;0.46;0.46	Bacteria: 0.88	Bacteroidetes: 0.48	NA	NA	NA	NA	Bacteroidetes bacterium: 0.46
