# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
15_5m_0.fa	taxid assigned	based on 54/69 ORFs	1;131567;2;49928	1.00;0.68;0.66;0.32	Bacteria: 0.66	no support	no support	no support	no support	no support	no support
15_5m_1.fa	taxid assigned	based on 16/124 ORFs	1;131567;2	1.00;0.98;0.66	Bacteria: 0.66	no support	no support	no support	no support	no support	no support
15_5m_10.fa	taxid assigned	based on 2367/2492 ORFs	1;131567;2;1783257;203682;666505	1.00;0.99;0.99;0.91;0.90;0.46	Bacteria: 0.99	Planctomycetes: 0.90	Phycisphaerae: 0.46	no support	no support	no support	no support
15_5m_100.fa	taxid assigned	based on 821/1286 ORFs	1;131567;2	1.00;0.61;0.47	Bacteria: 0.47	no support	no support	no support	no support	no support	no support
15_5m_101.fa	taxid assigned	based on 192/223 ORFs	1;131567;2;1783270;68336;976;117743;200644;403978;2021391	1.00;0.99;0.99;0.90;0.89;0.88;0.48;0.48;0.47;0.47	Bacteria: 0.99	Bacteroidetes: 0.88	Flavobacteriia: 0.48	Flavobacteriales: 0.48	NA	NA	Flavobacteriales bacterium: 0.47
15_5m_102.fa	taxid assigned	based on 2641/2927 ORFs	1;131567;2;1224;28216;80840	1.00;0.85;0.85;0.69;0.48;0.30	Bacteria: 0.85	Proteobacteria: 0.69	Betaproteobacteria: 0.48	Burkholderiales: 0.30	no support	no support	no support
15_5m_103.fa	taxid assigned	based on 2929/3308 ORFs	1;131567;2;1783270;68336;976	1.00;0.99;0.96;0.69;0.69;0.67	Bacteria: 0.96	Bacteroidetes: 0.67	no support	no support	no support	no support	no support
15_5m_104.fa	taxid assigned	based on 81/181 ORFs	1;131567;2	1.00;0.72;0.72	Bacteria: 0.72	no support	no support	no support	no support	no support	no support
15_5m_105.fa	taxid assigned	based on 212/241 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53	Viruses: 0.53	Uroviricota: 0.53	Caudoviricetes: 0.53	Caudovirales: 0.53	NA	NA	uncultured Caudovirales phage: 0.53
15_5m_106.fa	taxid assigned	based on 1075/1417 ORFs	1;131567;2;2323;1783234;1783273;1794811;1752737;2045217	1.00;0.97;0.96;0.92;0.92;0.92;0.91;0.90;0.89	Bacteria: 0.96	Candidatus Moranbacteria: 0.90	NA	NA	NA	NA	Candidatus Moranbacteria bacterium: 0.89
15_5m_107.fa	taxid assigned	based on 1969/2032 ORFs	1;131567;2;1224;28216	1.00;1.00;0.99;0.65;0.53	Bacteria: 0.99	Proteobacteria: 0.65	Betaproteobacteria: 0.53	no support	no support	no support	no support
15_5m_108.fa	taxid assigned	based on 1326/1377 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;1.00;0.88;0.88;0.88	Bacteria: 1.00	Bacteroidetes: 0.88	no support	no support	no support	no support	no support
15_5m_109.fa	taxid assigned	based on 16/41 ORFs	1;131567;2	1.00;0.39;0.31	Bacteria: 0.31	no support	no support	no support	no support	no support	no support
15_5m_11.fa	taxid assigned	based on 2/2 ORFs	1;131567;2;1783270;68336;976;200643;171549;171551;361210;2049046	1.00;1.00;1.00;0.51;0.51;0.51;0.51;0.51;0.51;0.51;0.51	Bacteria: 1.00	Bacteroidetes: 0.51	Bacteroidia: 0.51	Bacteroidales: 0.51	Porphyromonadaceae: 0.51	NA	Porphyromonadaceae bacterium: 0.51
15_5m_110.fa	taxid assigned	based on 4237/4574 ORFs	1;131567;2;203691	1.00;1.00;0.98;0.60	Bacteria: 0.98	Spirochaetes: 0.60	no support	no support	no support	no support	no support
15_5m_111.fa	taxid assigned	based on 3858/7039 ORFs	1;131567;2	1.00;0.83;0.77	Bacteria: 0.77	no support	no support	no support	no support	no support	no support
15_5m_112.fa	taxid assigned	based on 8783/9168 ORFs	1;131567;2;1783270;68336;1090;191410;191411;191412;274493;1091;2685105;1095	1.00;1.00;1.00;0.95;0.95;0.95;0.94;0.94;0.94;0.79;0.50;0.31;0.31	Bacteria: 1.00	Chlorobi: 0.95	Chlorobia: 0.94	Chlorobiales: 0.94	Chlorobiaceae: 0.94	Chlorobium: 0.50	Chlorobium sp.: 0.31
15_5m_113.fa	taxid assigned	based on 1/2 ORFs	1;131567;2;1783272;201174;1760	1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Actinobacteria: 1.00	Actinomycetia: 1.00	no support	no support	no support	no support
15_5m_114.fa	taxid assigned	based on 51/339 ORFs	1;131567;2;1224	1.00;0.87;0.57;0.34	Bacteria: 0.57	Proteobacteria: 0.34	no support	no support	no support	no support	no support
15_5m_115.fa	taxid assigned	based on 21/97 ORFs	1;131567;2	1.00;0.69;0.66	Bacteria: 0.66	no support	no support	no support	no support	no support	no support
15_5m_116.fa	taxid assigned	based on 61/72 ORFs	1;131567;2;1783272;201174;1760	1.00;0.96;0.96;0.70;0.70;0.68	Bacteria: 0.96	Actinobacteria: 0.70	Actinomycetia: 0.68	no support	no support	no support	no support
